cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
18880,"Crestview-Fort Walton Beach-Destin, FL",Crestview,105001,8320601,0.01261940093029337,0.3846397012488941,0.35317160525358615,0.3201625871472357,0.28796667893392347,-0.0966730223149706
19100,"Dallas-Fort Worth-Arlington, TX",Dallas,1785034,208748080,0.00855113972784803,0.579874510039358,0.5159925590086927,0.4769184016563865,0.4246280404419625,-0.15524646959739546
19340,"Davenport-Moline-Rock Island, IA-IL",Davenport,35477,15185420,0.00233625411743633,0.47437573520181825,0.4512719988374883,0.421438241202835,0.38702245208697195,-0.0873532831148463
19380,"Dayton, OH",Dayton,89610,32101298,0.00279147590854425,0.6708982401187243,0.6292981218500997,0.5775144082365998,0.514815884041517,-0.15608235607720733
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,193289,19454166,0.00993560967866728,0.6826436210097927,0.5527986278239755,0.4324033346217493,0.3819134016880358,-0.3007302193217569
19740,"Denver-Aurora-Lakewood, CO",Denver,634912,85848055,0.00739576452838681,0.49866892545164054,0.46998276472415856,0.42881694226739664,0.39611480822498873,-0.1025541172266518
19780,"Des Moines-West Des Moines, IA",Des Moines,143732,19825890,0.00724971237104614,0.49881883546150985,0.44867201985149874,0.3962355348482673,0.34819893230190296,-0.15061990315960688
19820,"Detroit-Warren-Dearborn, MI",Detroit,519288,173300299,0.002996463381751,0.7933457425110692,0.7732610433319316,0.6754580207640039,0.6173871196792695,-0.17595862283179964
20100,"Dover, DE",Dover,39190,5370751,0.00729693109957992,0.37991862996959824,0.3306070349155683,0.3060976246814683,0.2732178546301109,-0.10670077533948737
20260,"Duluth, MN-WI",Duluth,33565,11096480,0.00302483310022637,0.43244849315760153,0.4373385249910849,0.4071098093191337,0.4041488964828453,-0.02829959667475623
20500,"Durham-Chapel Hill, NC",Durham,154221,17027959,0.00905692807928419,0.5046771244823923,0.46736995783621,0.4447265500952265,0.3858473353244598,-0.11882978915793252
